Date,Open,High,Low,Close,Adj Close,Volume
2007-09-17,38.483334,38.500000,37.750000,37.812500,33.410503,276756
2007-09-18,37.587502,37.900002,37.187500,37.387501,33.034973,620940
2007-09-19,38.333332,38.333332,37.174999,37.308334,32.965031,1061352
2007-09-20,37.825001,39.500000,37.083332,38.483334,34.003235,2630784
2007-09-21,38.833332,39.566666,38.237499,38.395832,33.925919,1340616
2007-09-24,38.833332,39.416664,38.337502,39.137501,34.581245,1310436
2007-09-25,39.362499,39.708332,38.854164,39.195831,34.632786,1448964
2007-09-26,39.583332,39.983334,38.645832,38.762501,34.249897,1097004
2007-09-27,38.341667,39.166664,37.750000,37.958332,33.539352,1213140
2007-09-28,38.075001,39.916664,38.041664,39.420834,34.831596,2262312
2007-10-01,39.625000,41.891666,39.250000,40.808334,36.057571,6780180
2007-10-03,40.837502,42.491665,39.262501,40.966667,36.197472,3753216
2007-10-04,41.408333,43.575001,40.595833,43.070831,38.056675,9159624
2007-10-05,43.070831,43.583332,41.258331,41.716667,36.860153,2065464
2007-10-08,42.974998,42.974998,39.341667,40.129166,35.457466,3101832
2007-10-09,40.091667,41.000000,39.166664,40.491665,35.777763,2945868
2007-10-10,40.904167,42.270832,40.104164,41.958332,37.073681,4645272
2007-10-11,37.916664,43.825001,37.916664,42.737499,37.762142,5086728
2007-10-12,42.583332,43.329166,41.666664,41.870834,36.996376,3970692
2007-10-15,42.491665,42.937500,42.070831,42.237499,37.320351,1718340
2007-10-16,42.241665,45.724998,41.875000,45.220833,39.956379,8733660
2007-10-17,42.500000,43.583332,40.000000,42.933334,37.935181,7116960
2007-10-18,43.416664,45.333332,40.000000,42.208332,37.294582,9929784
2007-10-19,41.666664,43.333332,40.833332,42.570831,37.614880,4775700
2007-10-22,42.083332,42.866665,41.166664,42.075001,37.176765,1360596
2007-10-23,42.491665,43.566666,42.166664,42.970833,37.968319,1465824
2007-10-24,43.558334,44.166664,42.208332,42.637501,37.673790,1124868
2007-10-25,42.416664,43.083332,41.545834,41.945831,37.062641,3594408
2007-10-26,42.491665,42.916664,41.083332,42.208332,37.294582,1488216
2007-10-29,42.445831,44.000000,41.666664,42.358334,37.427124,3258924
2007-10-30,42.375000,43.325001,41.879166,42.129166,37.224632,2119512
2007-10-31,41.674999,44.000000,41.674999,43.420834,38.365929,4010376
